[01:02:51] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[01:02:54] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:02:54] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:02:54] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:02:54] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:02:54] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:02:54] [main/INFO]: Reloading ResourceManager: Default
[01:02:58] [Worker-Main-2/INFO]: Loaded 7 recipes
[01:02:59] [Worker-Main-2/INFO]: Loaded 927 advancements
[01:03:15] [Server thread/INFO]: Starting minecraft server version 1.16.4
[01:03:15] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[01:03:15] [Server thread/INFO]: Loading properties
[01:03:15] [Server thread/INFO]: Default game type: SURVIVAL
[01:03:15] [Server thread/INFO]: Generating keypair
[01:03:15] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: The handle is invalid
	at java.io.FileInputStream.readBytes(Native Method) ~[?:?]
	at java.io.FileInputStream.read(FileInputStream.java:271) ~[?:?]
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:282) ~[?:?]
	at java.io.BufferedInputStream.read(BufferedInputStream.java:343) ~[?:?]
	at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:297) ~[?:?]
	at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:339) ~[?:?]
	at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:188) ~[?:?]
	at java.io.InputStreamReader.read(InputStreamReader.java:181) ~[?:?]
	at java.io.BufferedReader.fill(BufferedReader.java:161) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:326) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:392) ~[?:?]
	at zg$1.run(SourceFile:95) [server.jar:?]
[01:03:16] [Server thread/INFO]: Starting Minecraft server on *:25565
[01:03:17] [Server thread/INFO]: Using default channel type
[01:03:20] [Server thread/INFO]: Preparing level "world"
[01:03:53] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[01:03:54] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[01:03:54] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[01:03:55] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[01:03:55] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[01:03:56] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:03:56] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:03:57] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:03:58] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:03:58] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:03:59] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:03:59] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:03:59] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:04:01] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:04:01] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:04:01] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[01:04:01] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[01:04:02] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[01:04:02] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[01:04:04] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[01:04:04] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[01:04:04] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[01:04:04] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[01:04:05] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[01:04:05] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[01:04:06] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[01:04:07] [Worker-Main-2/INFO]: Preparing spawn area: 29%
[01:04:07] [Worker-Main-2/INFO]: Preparing spawn area: 29%
[01:04:07] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[01:04:08] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:04:08] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:04:09] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:04:09] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:04:10] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[01:04:10] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[01:04:11] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[01:04:12] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[01:04:12] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[01:04:12] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[01:04:13] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[01:04:13] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[01:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[01:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[01:04:15] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[01:04:15] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[01:04:16] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[01:04:18] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[01:04:18] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[01:04:18] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[01:04:18] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[01:04:18] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[01:04:19] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[01:04:19] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[01:04:20] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[01:04:20] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[01:04:22] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[01:04:22] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[01:04:22] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[01:04:22] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[01:04:23] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[01:04:24] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[01:04:24] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[01:04:24] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[01:04:25] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[01:04:25] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[01:04:26] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[01:04:27] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[01:04:27] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[01:04:28] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[01:04:28] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[01:04:29] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[01:04:29] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[01:04:29] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[01:04:30] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[01:04:31] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[01:04:31] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[01:04:31] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[01:04:32] [Worker-Main-2/INFO]: Preparing spawn area: 82%
[01:04:32] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[01:04:33] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[01:04:34] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[01:04:34] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[01:04:34] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[01:04:35] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[01:04:35] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[01:04:36] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[01:04:36] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[01:04:38] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[01:04:38] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[01:04:38] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[01:04:38] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[01:04:39] [Worker-Main-2/INFO]: Preparing spawn area: 95%
[01:04:39] [Worker-Main-2/INFO]: Preparing spawn area: 98%
[01:04:42] [Server thread/INFO]: Time elapsed: 66893 ms
[01:04:42] [Server thread/INFO]: Done (82.526s)! For help, type "help"
[01:04:45] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2787ms or 55 ticks behind
[01:05:04] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 4106ms or 82 ticks behind
[01:06:16] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3646ms or 72 ticks behind
[01:06:24] [Server thread/INFO]: Stopping the server
[01:06:24] [Server thread/INFO]: Stopping server
[01:06:25] [Server thread/INFO]: Saving players
[01:06:25] [Server thread/INFO]: Saving worlds
[01:06:25] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[01:06:32] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[01:06:32] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[01:06:32] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[01:06:32] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[01:06:32] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[01:06:33] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[01:06:35] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[01:06:35] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
